date,time,age,confirmed,deceaed
3/22/2020,0,10,460,0
3/22/2020,0,20,2396,0
3/22/2020,0,30,909,1
3/22/2020,0,40,1221,1
3/22/2020,0,50,1691,7
3/22/2020,0,60,1132,17
3/22/2020,0,70,595,37
3/22/2020,0,80,392,41
3/23/2020,0,0,103,0
3/23/2020,0,10,460,0
3/23/2020,0,20,2417,0
3/23/2020,0,30,917,1
3/23/2020,0,40,1228,1
3/23/2020,0,50,1702,7
3/23/2020,0,60,1139,18
3/23/2020,0,70,599,38
3/23/2020,0,80,396,46
3/24/2020,0,0,105,0
3/24/2020,0,10,468,0
3/24/2020,0,20,2438,0
3/24/2020,0,30,921,1
3/24/2020,0,40,1234,1
3/24/2020,0,50,1716,8
3/24/2020,0,60,1146,20
3/24/2020,0,70,608,38
3/24/2020,0,80,401,52
3/25/2020,0,0,105,0
3/25/2020,0,10,475,0
3/25/2020,0,20,2473,0
3/25/2020,0,30,943,1
3/25/2020,0,40,1246,1
3/25/2020,0,50,1724,10
3/25/2020,0,60,1154,20
3/25/2020,0,70,611,39
3/25/2020,0,80,406,55
3/26/2020,0,0,106,0
3/26/2020,0,10,488,0
3/26/2020,0,20,2508,0
3/26/2020,0,30,955,1
3/26/2020,0,40,1252,1
3/26/2020,0,50,1738,10
3/26/2020,0,60,1162,20
3/26/2020,0,70,616,41
3/26/2020,0,80,416,58
3/27/2020,0,0,108,0
3/27/2020,0,10,496,0
3/27/2020,0,20,2532,0
3/27/2020,0,30,960,1
3/27/2020,0,40,1256,1
3/27/2020,0,50,1752,10
3/27/2020,0,60,1170,21
3/27/2020,0,70,630,41
3/27/2020,0,80,428,65
3/28/2020,0,0,109,0
3/28/2020,0,10,501,0
3/28/2020,0,20,2567,0
3/28/2020,0,30,978,1
3/28/2020,0,40,1278,1
3/28/2020,0,50,1780,10
3/28/2020,0,60,1201,21
3/28/2020,0,70,632,41
3/28/2020,0,80,432,70
3/29/2020,0,0,111,0
3/29/2020,0,10,508,0
3/29/2020,0,20,2602,0
3/29/2020,0,30,993,1
3/29/2020,0,40,1292,1
3/29/2020,0,50,1798,10
3/29/2020,0,60,1210,21
3/29/2020,0,70,635,43
3/29/2020,0,80,434,76
3/30/2020,0,0,112,0
3/30/2020,0,10,513,0
3/30/2020,0,20,2630,0
3/30/2020,0,30,1002,1
3/30/2020,0,40,1297,1
3/30/2020,0,50,1812,10
3/30/2020,0,60,1218,21
3/30/2020,0,70,640,45
3/30/2020,0,80,437,80
3/31/2020,0,0,112,0
3/31/2020,0,10,515,0
3/31/2020,0,20,2656,0
3/31/2020,0,30,1012,1
3/31/2020,0,40,1312,1
3/31/2020,0,50,1851,10
3/31/2020,0,60,1235,22
3/31/2020,0,70,651,46
3/31/2020,0,80,442,82
4/1/2020,0,0,116,0
4/1/2020,0,10,519,0
4/1/2020,0,20,2682,0
4/1/2020,0,30,1027,1
4/1/2020,0,40,1323,1
4/1/2020,0,50,1865,10
4/1/2020,0,60,1245,23
4/1/2020,0,70,658,46
4/1/2020,0,80,452,84
4/2/2020,0,0,119,0
4/2/2020,0,10,522,0
4/2/2020,0,20,2704,0
4/2/2020,0,30,1043,1
4/2/2020,0,40,1336,2
4/2/2020,0,50,1878,11
4/2/2020,0,60,1258,23
4/2/2020,0,70,663,47
4/2/2020,0,80,453,85
4/3/2020,0,0,121,0
4/3/2020,0,10,528,0
4/3/2020,0,20,2734,0
4/3/2020,0,30,1052,1
4/3/2020,0,40,1350,2
4/3/2020,0,50,1887,12
4/3/2020,0,60,1266,24
4/3/2020,0,70,668,49
4/3/2020,0,80,456,86
4/4/2020,0,0,122,0
4/4/2020,0,10,530,0
4/4/2020,0,20,2761,0
4/4/2020,0,30,1066,1
4/4/2020,0,40,1358,2
4/4/2020,0,50,1898,12
4/4/2020,0,60,1282,25
4/4/2020,0,70,678,50
4/4/2020,0,80,461,87
4/5/2020,0,0,124,0
4/5/2020,0,10,535,0
4/5/2020,0,20,2789,0
4/5/2020,0,30,1083,1
4/5/2020,0,40,1370,2
4/5/2020,0,50,1904,13
4/5/2020,0,60,1289,25
4/5/2020,0,70,681,51
4/5/2020,0,80,462,91
4/6/2020,0,0,126,0
4/6/2020,0,10,542,0
4/6/2020,0,20,2804,0
4/6/2020,0,30,1086,1
